participant_id,session_id,turn_number,condition,synchrony_lsm,synchrony_embedding,stability_score,coherence_score,user_style_vector,bot_style_vector
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,1,adaptive,0.4739832415700105,0.5879582762718201,,-0.0387077403131941,"[0.9975772500038147, 0.5719, 8.0, 88.74, 0, 0, 0, 0.125]","[0.1562633216381073, 0.8832, 11.0, 78.75, 0, 0, 0, 0.2727272727272727]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,2,adaptive,0.7993428578786792,0.6499170660972595,-0.0549724994567877,0.2115371862495109,"[0.9922593235969543, 0.4703, 10.0, 78.25, 0, 0, 0, 0.5]","[0.0009886241750791669, 0.8906, 9.333333333333334, 71.82, 0, 0, 0, 0.39285714285714285]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,3,adaptive,0.8967159005775602,0.5820713639259338,0.451073474984776,0.2631371154004732,"[0.9961097836494446, 0.5789, 24.0, 98.89, 0, 0, 0, 0.5]","[0.005596809554845095, 0.8172, 9.0, 105.66, 0, 0, 0, 0.2962962962962963]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,4,adaptive,0.8800091752747772,0.499855488538742,0.7386471499472899,-0.2294806515201901,"[0.9950248599052429, 0, 15.0, 81.63, 0, 0, 0, 0.4]","[0.0008612325182184577, 0.9642, 12.666666666666666, 76.93, 0, 0, 0, 0.2894736842105263]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,5,adaptive,0.3307802108154482,0.629078209400177,-0.1938777430746596,0.7704350212549624,"[0.9735864996910095, 0.6486, 7.0, 81.29, 0, 0, 0, 0]","[0.0005283081554807723, 0.8261, 17.0, 73.68, 0, 0, 0, 0.35294117647058826]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,6,adaptive,0.9200383815768431,0.570313572883606,0.3562650367912415,0.7492586638334039,"[0.9932622313499451, 0, 9.0, 88.74, 0, 0, 0, 0.3333333333333333]","[0.00038970477180555463, 0.836, 13.5, 76.22, 0, 0, 0, 0.37037037037037035]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,7,adaptive,0.3701969759779865,0.5918562412261963,0.5187993652924816,0.5107181569472785,"[0.996184766292572, 0.6369, 7.0, 81.8, 0, 0, 0, 0.42857142857142855]","[0.0017238581785932183, 0.2683, 11.0, 79.26, 0, 0, 0, 0.42424242424242425]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,8,adaptive,0.5,0.6545951962471008,0.7765307832912984,0.8899569949301626,"[0.9924105405807495, 0, 2.0, 77.91, 0, 0, 0, 0.5]","[0.000531532452441752, 0.7096, 15.0, 74.69, 0, 0, 0, 0.36666666666666664]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,9,adaptive,0.8709611940852893,0.5286663770675659,0.3177090723119726,0.3681219380011382,"[0.9648319482803345, 0.8807, 13.666666666666666, 68.06, 0, 0, 0, 0.3170731707317073]","[0.0007597727235406637, 0.8555, 14.0, 58.79, 0, 0, 0, 0.42857142857142855]"
67bcdb18c5a07dca6589a461,ddb4f4dc-a2ab-438e-8eb2-03935469b725,10,adaptive,0.5430202538579253,0.6611449718475342,0.3684772510977518,0.0911784262616256,"[0.9987354874610901, 0.4019, 5.0, 117.16, 0, 0, 0, 0.6]","[0.0017312336713075638, 0.8883, 9.5, 72.16, 0, 0, 0, 0.3684210526315789]"
